Cell_Af,Cell_Cf,InterneuronCellf,SOM_Cell,CR_Cell
-70.04124814000959,-70.04124814000959,-69.99992227838077,-70.0,-66.1068641169004
-70.04165471690354,-70.04165471690354,-69.99992171162421,-70.0,-66.07802955667833
-70.04206050702138,-70.04206050702138,-69.99992114768715,-70.0,-66.04933114348553
-70.04246551034949,-70.04246551034949,-69.99992058655556,-70.0,-66.02076823448131
-70.0428697269394,-70.0428697269394,-69.99992002821547,-70.0,-65.99234018986023
-70.04327315690465,-70.04327315690465,-69.999919472653,-70.0,-65.96404637283779
-70.0436758004176,-70.0436758004176,-69.99991891985434,-70.0,-65.93588614963615
-70.04407765770658,-70.04407765770658,-69.99991836980574,-70.0,-65.90785888947002
-70.04447872905307,-70.04447872905307,-69.99991782249352,-70.0,-65.8799639645325
-70.0448790147891,-70.0448790147891,-69.99991727790405,-70.0,-65.85220074998092
-70.04527851529471,-70.04527851529471,-69.99991673602378,-70.0,-65.824568623923
-70.0456772309956,-70.0456772309956,-69.99991619683927,-70.0,-65.79706696740274
-70.0460751623608,-70.0460751623608,-69.99991566033707,-70.0,-65.76969516438668
-70.04647230990061,-70.04647230990061,-69.99991512650386,-70.0,-65.74245260175005
-70.04686867416449,-70.04686867416449,-69.99991459532636,-70.0,-65.71533866926308
-70.04726425573914,-70.04726425573914,-69.99991406679135,-70.0,-65.68835275957726
-70.04765905524661,-70.04765905524661,-69.99991354088569,-70.0,-65.6614942682118
-70.04805307334263,-70.04805307334263,-69.99991301759628,-70.0,-65.63476259354005
-70.04844631071481,-70.04844631071481,-69.99991249691014,-70.0,-65.60815713677604
-70.04883876808114,-70.04883876808114,-69.9999119788143,-70.0,-65.58167730196111
-70.04923044618842,-70.04923044618842,-69.99991146329587,-70.0,-65.55532249595045
-70.04962134581083,-70.04962134581083,-69.99991095034204,-70.0,-65.52909212839991
-70.0500114677486,-70.0500114677486,-69.99991043994004,-70.0,-65.50298561175276
-70.05040081282662,-70.05040081282662,-69.99990993207719,-70.0,-65.47700236122651
-70.05078938189322,-70.05078938189322,-69.99990942674084,-70.0,-65.45114179479981
-70.05117717581903,-70.05117717581903,-69.99990892391844,-70.0,-65.42540333319941
