x_axis_frequency,case1,case2,case3,case4,case5,case6
67,7.90505598684837e-06,-1.3166479368722996e-06,4.820330016157886e-06,6.990977259937364e-07,1.0700365383136293e-05,5.0696028361015e-06
68,3.970362182768803e-06,-2.37531581849369e-06,1.0939418820658311e-05,3.5170785416753188e-06,1.4852151039025162e-05,4.982202282361625e-06
69,-8.233548299181218e-07,6.802442416839709e-06,1.010033358876369e-05,2.2894201736073682e-06,-9.701167116946621e-06,3.648411200554083e-06
70,-2.211734263735198e-06,4.093900320282942e-06,-1.1631165737523602e-05,-4.0698687334962874e-07,2.0964377064574657e-06,-1.1430373518279277e-06
71,8.059349161801446e-07,5.9677895564858256e-06,-4.7018001988869304e-06,-4.851527090463282e-06,1.9674235514111267e-05,-1.0760700560378695e-06
72,1.4376105961737668e-05,-4.638967957040532e-07,7.723927047194964e-06,-2.5142230323979184e-06,1.1795828626775534e-05,-2.4922244806955177e-07
73,1.2656912876004659e-05,1.1110811475898515e-06,3.03451237246083e-06,2.825358883417751e-06,2.9324920194815114e-06,-4.0737020323425387e-07
74,2.3088552119521e-06,2.3212404378756474e-06,-1.4895335390749596e-06,4.60559766065185e-06,2.523057859145612e-07,1.4597576330912779e-06
75,4.62679918843687e-06,9.83338777669534e-06,7.745534277731853e-06,1.4758579413758915e-06,2.3238880600118243e-05,-7.45979539682948e-07
76,1.3747849244497403e-05,3.0725038300745257e-06,1.271618785101574e-05,1.1525290663249182e-06,3.6400828019419716e-05,2.0284416811856127e-06
77,1.4626060378097736e-05,8.350319274816112e-06,2.0818216185003885e-05,5.893841307014769e-06,5.21539913244686e-05,3.906034119561796e-06
78,1.4594847492828766e-06,1.472760883134424e-05,1.3252696833606101e-05,2.112089998289194e-06,2.3015405663509832e-05,4.879617469647216e-07
79,-2.9749648771100836e-06,1.4163168387262165e-05,-5.997523766284186e-07,4.554374999059261e-06,2.685257343396835e-07,9.514565911962617e-07
80,1.5586095610927747e-05,1.3190882238926598e-05,-3.2863889054757304e-06,1.5014980591064066e-07,8.969611057071663e-06,1.6231747189392104e-06
81,1.0380477001644711e-05,1.8054850289355828e-06,-8.805413493441264e-06,-2.9457436603037172e-06,1.632590269466905e-05,2.041253240738019e-06
82,8.387714170407602e-06,6.45808854220466e-06,6.059498741150051e-06,1.0034406901792512e-06,1.3684129100131616e-05,1.424521852649442e-06
83,2.3964127993371462e-05,2.1873445481261294e-05,4.505231251880929e-05,-1.4453434419393238e-06,3.360312114650855e-05,2.2026185015282893e-06
84,3.688278432745177e-05,1.7857406117453145e-05,5.550298714530785e-05,5.845003397866379e-06,5.605454847218049e-05,1.583110876492925e-06
85,1.9412772999778736e-05,7.673154925402257e-06,2.449836442813887e-05,7.258470188507553e-06,3.0232811964323893e-05,9.859962698880644e-07
86,9.83516389405674e-06,2.230271567168034e-06,1.2525573545477489e-07,-2.9779040513574745e-06,-5.298487342085475e-06,-3.272343568214785e-07
87,1.7150635406402712e-05,3.699706620715467e-06,-4.690760057429955e-06,7.540503698131025e-07,1.7447365096074925e-05,2.017932751271622e-06
88,2.3423862156316773e-05,1.7924209253282673e-05,1.9453929467291146e-05,3.1675191091336986e-06,2.9675954288005682e-05,3.595064788838779e-06
89,1.6571249389797663e-05,1.5528867115929872e-05,2.4137962202503905e-05,1.468108359023588e-05,1.2262233109956643e-05,4.5940696130889295e-07
90,-2.3657876855692277e-06,1.0644982645535047e-05,1.1057690334086132e-07,8.057705102068523e-06,-3.9918827724426895e-06,5.655635613369984e-07
91,1.5859473560166472e-05,8.95656182210019e-06,1.3720970595314966e-06,4.909187943057657e-06,2.099451792377808e-05,3.6819932796798663e-07
92,1.2535054827674628e-05,8.520426905851862e-06,6.7065573762134005e-06,4.458614229091868e-07,6.979193207472796e-06,5.264371670520965e-06
93,2.673883018562939e-06,9.177319575908847e-06,-5.35467217595234e-07,5.91169175444928e-06,-6.033888377016981e-06,4.536589884747319e-06
94,9.778808358379417e-06,1.6758165491587083e-05,1.6016037057784488e-05,1.1634674101889684e-05,2.055003365003962e-05,8.408873962843408e-07
95,-7.2519490143325105e-06,-1.0518674615156394e-06,4.393706853670956e-06,8.074148672108322e-06,1.1451053050830275e-05,1.7050436217643426e-06
96,-2.2456504486526857e-06,2.3280171113963626e-06,1.383476589214808e-05,1.084019741977769e-05,1.0771307942654533e-05,2.737735433601795e-06
97,8.438779528823595e-06,1.0877236671959294e-05,1.8247037986373297e-05,5.048137949155518e-06,6.929701268445519e-06,1.7389647426513743e-06
98,5.8324893883240796e-06,1.4784079068690727e-05,9.228415805251979e-06,1.3221513865124088e-05,-6.24231255244493e-08,7.597773231727845e-07
99,1.9611479361239297e-05,5.865738108802821e-06,1.9923122170390465e-05,2.2447279772771384e-05,1.0000442647642908e-05,8.130140472187644e-07
100,2.2779410666234305e-05,1.3504987554612023e-05,1.0224957180396822e-05,2.134761235118631e-05,1.4085833534054456e-05,-6.997792386324163e-07
