x_axis_frequency,case1,case2,case3,case4,case5,case6
104,9.808596037521071e-06,2.608981571599608e-05,4.0808120372481886e-05,4.164735187088736e-05,2.3153449351770135e-05,1.0468761787157723e-06
105,1.1318810168122079e-05,2.1125227976597488e-05,2.9116351209816272e-05,2.3794847459986927e-05,1.9242418774096038e-05,2.182811910048119e-06
106,2.1863001114700424e-05,2.4778643980378848e-05,2.376765928640124e-05,1.6389342600335032e-05,3.311595188235792e-05,4.024226321101492e-06
107,8.833611223320589e-06,1.9392279298104657e-05,1.842172352433885e-05,2.3876098964708027e-05,2.1967601381876495e-05,1.020835271317801e-06
108,-2.2177784043779954e-06,1.4584295519325117e-06,1.0492433633068107e-05,1.6222717614496717e-05,2.3421474240876656e-05,2.122134723900159e-06
109,2.2172828528248156e-05,1.5689691403640902e-05,9.409247709752772e-06,1.5046919670749543e-05,1.4655284179442993e-05,-3.3546623932168664e-07
110,3.0008780009836565e-05,2.057192759282421e-05,2.048312532468215e-05,1.773753887701819e-05,2.9876896755005258e-05,-5.426087710967035e-07
111,4.051454096369491e-06,7.739235836658557e-06,8.579790555275296e-06,8.468903765719825e-06,1.3542951554967945e-05,1.8511845359846526e-07
112,1.5702924157618046e-06,1.1053818555753084e-05,9.727521016130986e-06,8.830879739808367e-06,9.225166112226019e-06,3.3897698866902856e-07
113,1.2135460375255572e-05,8.957464832499568e-06,1.600834420818771e-05,1.851030731152773e-05,2.56793532118981e-05,-7.66404057886141e-09
114,4.676348294811199e-06,9.592419275892365e-06,7.980242519326292e-06,5.996967797939467e-06,5.683839004194034e-06,-2.0422232485082403e-07
115,1.8447320471737426e-05,1.7828324911075844e-05,7.746201474482737e-06,1.1623762006860731e-06,-2.942356107976813e-06,-3.900347594726258e-07
116,2.1093760014204013e-05,6.153527214182982e-06,-2.0993567443347105e-06,7.367453528145261e-06,9.274296983666181e-06,-3.4941130295057607e-07
117,2.5617035116083932e-05,4.804928993389102e-06,-1.2164381510146256e-06,1.3936517356145917e-05,2.6197903213344665e-05,1.901484992058702e-06
118,4.2051648518106026e-06,1.1507128287994574e-05,6.658018441957532e-06,9.40528102936305e-06,9.420572960492044e-06,6.242807935425036e-07
119,9.142083336218594e-06,8.539287225415626e-06,2.3460159180696045e-06,1.1650245159001766e-05,2.2272034103144533e-05,1.9472890615129564e-06
120,1.1600879773064987e-05,5.825894681897299e-06,7.479398298900766e-06,1.559832286969251e-05,4.7031014237093245e-05,-8.360073072244396e-09
121,1.1878531843626116e-05,2.2770303850643364e-06,1.3582604216886735e-05,9.31934616313267e-06,3.184182431060627e-05,3.752044480456037e-07
122,1.1371446270635788e-05,1.0104383337045605e-05,1.4975501017817713e-05,1.2016673687133678e-05,6.13875367012801e-06,-4.881442738134828e-07
123,6.955490026726916e-07,3.3602715519744645e-06,-3.724283439517669e-06,6.919012921987647e-06,4.618814542507915e-06,-1.4198908407801063e-06
124,-7.930590294151525e-07,3.5291135909111925e-06,4.374503951675701e-06,1.3750092930304821e-05,1.2173447862691693e-05,-1.3487686785778122e-06
125,-1.1940571961979993e-06,3.1225841611431926e-06,5.909840173691497e-06,2.057456609510562e-05,-7.974206599819374e-06,8.333072046093729e-07
126,1.0960043481451997e-05,1.607394849832603e-05,-6.448659211792185e-09,8.241657255201927e-06,-1.0058108722203658e-05,4.993793721530097e-07
127,1.0041046757151618e-05,2.539160592087439e-05,7.630170985243914e-06,2.721507761678833e-06,-1.9108265669942596e-06,1.5214362128493835e-06
128,3.4971332336325757e-06,4.826099294055302e-06,8.874191552109776e-06,-3.787427287388395e-06,-4.9871625302580085e-06,1.0133167373741736e-06
129,1.0107660293964792e-06,1.730961090822555e-05,-1.3498145583386572e-06,3.4427690881568705e-06,-1.6831094880343418e-06,9.322464072564215e-07
130,3.7406159813642314e-06,1.952283928749798e-05,1.37827074138679e-05,9.755180831855372e-06,9.571061077049289e-06,2.4836963305963955e-06
131,2.830647030489532e-06,4.43076712196168e-06,1.2574962452188176e-05,1.9304867054033274e-06,7.227931908613859e-06,3.323314095169858e-08
132,-6.29301289865919e-06,9.888723880153073e-06,4.2715740861647014e-06,-4.565799814938835e-06,-3.1053036100664615e-06,-4.982219472849722e-07
133,-8.592801089132909e-06,6.064133108308435e-06,5.934341164201451e-06,-3.7788569844858e-08,1.7477390134294342e-05,7.283991911212233e-07
134,3.323136097603492e-07,4.679200699263036e-06,1.3600869713113802e-05,3.0534225197154188e-06,5.315353893491835e-06,1.5672816168359978e-06
135,6.546498433847931e-06,1.5004573644583926e-05,2.1327661905570692e-05,2.0393772876380146e-06,1.1349749132293988e-05,2.07220008735061e-06
136,3.91286534630308e-06,7.73169996182318e-06,8.528423309110702e-06,1.1425992848204347e-06,2.591318252732669e-06,1.42212954056711e-06
137,7.344861087286862e-06,3.0693415493145747e-06,1.5232817782875366e-05,5.456036397161618e-07,6.355192723708146e-06,1.2764401711049329e-06
