timestamps,node_ids
5718.800000012139,962
5820.200000012508,962
5919.60000001287,962
5931.9000000129145,962
5605.100000011726,986
5627.400000011807,986
5771.1000000123295,986
5972.200000013061,986
6204.300000013905,266
6062.60000001339,410
6328.700000014358,722
6005.200000013181,818
6009.300000013196,842
6230.000000013999,914
6421.100000014694,914
6173.900000013795,938
6126.300000013622,962
6439.500000014761,962
6456.200000014822,962
6486.9000000149335,986
6766.40000001595,554
6920.600000016511,698
6920.600000016511,866
6944.600000016599,866
6968.000000016684,866
6903.6000000164495,986
6974.400000016707,986
7333.8000000180145,2
7020.600000016875,146
7359.600000018108,242
7457.300000018464,386
7166.100000017404,506
7328.500000017995,818
7263.700000017759,842
7341.700000018043,842
7024.300000016889,866
7062.400000017027,890
7076.500000017079,890
7385.000000018201,890
7235.300000017656,914
7383.0000000181935,938
7014.200000016852,962
7023.400000016885,962
7171.900000017426,962
7390.800000018222,962
7009.900000016836,986
7208.500000017559,986
7767.400000019592,722
7573.700000018887,842
7728.8000000194515,842
7621.000000019059,914
7666.400000019224,914
7605.1000000190015,962
7625.800000019077,962
7552.40000001881,986
7572.600000018883,986
7675.500000019258,986
8036.30000002057,866
8254.30000002023,890
8151.400000020989,914
8188.900000021125,914
8094.900000020783,938
8130.900000020914,962
8326.300000019182,962
8464.000000017179,962
8168.20000002105,986
8369.900000018548,986
8381.000000018386,986
8443.30000001748,986
8469.4000000171,986
8730.700000013298,530
8918.200000010569,818
8566.100000015693,842
8615.900000014968,842
8965.50000000988,866
8688.400000013913,890
8732.300000013274,890
8752.900000012974,890
8984.600000009603,890
8703.600000013692,914
8872.200000011238,914
8565.500000015702,938
8579.000000015505,938
8692.800000013849,938
8527.80000001625,962
8734.300000013245,986
8964.90000000989,986
9359.100000004151,842
9029.900000008944,866
9278.100000005332,866
9124.800000007564,938
9137.30000000738,938
9146.700000007244,938
9310.700000004856,938
9348.30000000431,938
9226.400000006084,962
9338.500000004453,962
9477.700000002427,962
9301.700000004988,986
9479.300000002404,986
9490.200000002244,986
9981.399999995096,146
9761.3999999983,818
9868.799999996736,818
9784.799999997958,914
9599.700000000652,938
9789.099999997896,938
9609.100000000515,962
9804.399999997671,962
9908.099999996164,962
9923.59999999594,962
9685.999999999396,986
9733.699999998702,986
9780.299999998024,986
10465.399999988054,650
10407.899999988893,842
10484.499999987776,842
10097.599999993408,890
10201.699999991892,914
10095.39999999344,938
10112.999999993182,938
10391.199999989134,938
10401.199999988989,938
10037.299999994284,962
10158.999999992511,962
10240.89999999132,962
10313.599999990263,986
10406.699999988909,986
10900.69999998172,2
10758.899999983783,818
10813.39999998299,890
10670.299999985073,914
10778.2999999835,914
10944.69999998108,938
10976.499999980617,938
10510.499999987398,962
10668.599999985096,962
10605.19999998602,986
10683.399999984882,986
10860.299999982308,986
11495.09999997307,194
11455.19999997365,914
11123.99999997847,986
11228.699999976949,986
11547.499999972308,266
11687.899999970265,842
11616.6999999713,890
11627.399999971143,890
11643.399999970912,890
11655.89999997073,890
11946.4999999665,890
11890.89999996731,914
11933.199999966697,938
11501.29999997298,962
11869.299999967625,962
11885.999999967382,986
12098.399999964293,866
12082.899999964517,914
12018.79999996545,938
12402.699999959865,962
12016.799999965478,986
12644.69999995634,938
12703.599999955484,938
12582.89999995724,962
12929.99999995219,962
12944.699999951976,962
12808.099999953964,986
13154.59999994892,2
13111.499999949549,842
13008.399999951049,866
13110.899999949555,866
13141.199999949116,866
13115.899999949484,890
13380.299999945635,914
13133.99999994922,938
13154.69999994892,938
13011.599999951002,986
13111.899999949545,986
13475.799999944247,986
13689.29999994114,842
13699.999999940985,842
13769.799999939967,842
13692.899999941088,890
13967.69999993709,914
13987.999999936794,914
13658.39999994159,938
13779.199999939832,938
13613.499999942243,962
13590.39999994258,986
13877.399999938403,986
14287.19999993244,482
14093.999999935251,866
14257.899999932866,866
14046.299999935944,890
14035.299999936104,914
14013.099999936429,938
14325.199999931889,938
14057.399999935784,962
14215.299999933486,962
14325.099999931888,962
14040.899999936024,986
14053.699999935838,986
14141.299999934565,986
14397.79999993083,986
14899.899999923524,146
14678.89999992674,242
14799.399999924986,842
14677.59999992676,914
14524.199999928993,938
14948.699999922814,938
14517.899999929085,962
14822.199999924656,986
14908.4999999234,986
5308.200000010645,219
5402.100000010987,243
5352.300000010806,411
5472.400000011243,507
5274.200000010522,555
5048.900000009702,843
5060.600000009745,843
5348.00000001079,843
5376.400000010894,843
5396.900000010968,843
5410.2000000110165,843
5427.400000011079,843
5183.10000001019,891
5154.400000010086,915
5277.800000010535,915
5497.200000011333,939
5040.700000009672,963
5166.800000010131,963
5206.800000010277,963
5284.100000010558,963
5147.000000010059,987
5326.200000010711,987
5338.200000010755,987
5349.700000010796,987
5365.000000010852,987
5925.000000012889,3
5913.200000012846,27
5958.10000001301,147
5636.900000011841,579
5917.300000012861,819
5942.000000012951,819
5507.900000011372,843
5722.900000012154,843
5753.500000012265,843
5774.600000012342,843
5819.600000012506,843
5532.20000001146,963
5630.000000011816,963
5645.700000011873,963
5916.000000012857,963
5664.10000001194,987
5912.000000012842,987
6091.9000000134965,51
6419.700000014689,363
6190.500000013855,627
6406.400000014641,675
6450.900000014803,771
6322.200000014334,819
6219.100000013959,843
6261.000000014112,843
6283.300000014193,843
6211.400000013931,867
6136.400000013658,891
6413.5000000146665,915
6120.500000013601,963
6437.100000014752,963
6149.600000013706,987
6220.100000013963,987
6349.000000014432,987
6440.7000000147655,987
6867.400000016318,843
6824.200000016161,867
6945.700000016603,867
6674.000000015614,915
6958.70000001665,915
6599.600000015344,963
6659.600000015562,963
6918.400000016503,963
7359.400000018108,75
7179.800000017454,99
7350.400000018075,819
7023.900000016887,843
7078.700000017087,843
7117.300000017227,843
7295.400000017875,843
7326.900000017989,843
7338.900000018033,843
7418.700000018323,843
7356.700000018098,867
7364.700000018127,867
7381.500000018188,867
7406.600000018279,867
7085.000000017109,915
7285.100000017837,915
7164.700000017399,963
7273.800000017796,963
7027.700000016901,987
7359.300000018107,987
7958.000000020285,171
7648.200000019158,531
7995.500000020422,579
7634.500000019108,819
7747.60000001952,819
7827.30000001981,819
7528.900000018724,843
7895.500000020058,843
7611.800000019026,891
7841.600000019862,891
7991.200000020406,891
7905.800000020095,915
7797.400000019701,939
7571.80000001888,963
7583.700000018924,963
7693.300000019322,963
7785.800000019659,963
7969.700000020328,963
7605.200000019002,987
7687.700000019302,987
8143.900000020962,219
8183.700000021106,315
8398.700000018129,747
8078.800000020725,795
8035.600000020568,843
8085.100000020748,843
8250.300000020288,843
8035.200000020566,867
8056.300000020643,867
8073.200000020704,867
8001.500000020444,891
8041.200000020588,891
8155.800000021005,891
8042.900000020594,963
8065.300000020676,963
8347.600000018872,963
8357.900000018722,963
8102.600000020811,987
8959.800000009964,267
8561.700000015757,459
8602.800000015159,555
8728.900000013324,843
8747.00000001306,843
8819.100000012011,843
8865.20000001134,843
8686.100000013947,867
8567.600000015671,963
8587.100000015387,963
8653.900000014415,963
8724.700000013385,963
8734.900000013236,963
8928.100000010425,963
8676.000000014094,987
8781.100000012564,987
8965.900000009875,987
9324.90000000465,123
9496.400000002155,219
9027.600000008975,579
9460.40000000268,699
9030.500000008937,819
9041.000000008782,843
9433.900000003065,843
9295.100000005084,867
9324.700000004654,891
9492.500000002212,891
9089.800000008072,915
9358.60000000416,939
9033.000000008898,963
9335.90000000449,963
9396.600000003607,963
9477.400000002432,963
9490.000000002248,963
9043.600000008744,987
9324.600000004655,987
9337.100000004471,987
9818.599999997468,243
9674.499999999563,291
9958.399999995432,555
9572.500000001048,867
9939.199999995712,939
9681.799999999455,963
9964.599999995342,963
9872.099999996688,987
9987.599999995007,987
10477.499999987878,723
10032.999999994348,843
10075.699999993723,843
10099.39999999338,843
10136.299999992843,843
10175.399999992274,843
10035.799999994306,891
10118.399999993104,891
10254.599999991122,891
10469.599999987991,915
10225.699999991542,939
10069.499999993815,963
10240.799999991325,963
10257.699999991077,963
10141.199999992772,987
10254.499999991123,987
10462.599999988097,987
10608.399999985972,819
10606.599999986,867
10565.899999986592,891
10529.69999998712,915
10687.999999984817,915
10754.29999998385,939
10510.2999999874,963
10631.899999985631,963
10763.19999998372,963
10775.299999983545,963
10611.299999985931,987
11499.699999973003,315
11292.39999997602,915
11124.499999978463,963
11430.299999974011,963
11496.999999973044,963
