x_axis_frequency,case1,case2,case3,case4,case5,case6
55,2.8803580699591943e-07,-6.265854534958431e-06,-9.118747467240246e-06,-3.891435207984929e-06,-1.1982988811797828e-05,1.9555525333616518e-06
56,9.573786753832036e-06,-2.411226126243443e-06,-9.120718397890618e-06,-5.974080838151779e-07,-3.6680653372890657e-06,2.0536381666255185e-06
57,2.215658178495678e-06,-4.653855999677615e-06,-4.071353177175807e-06,-1.4781686907712737e-06,-3.7145064849400736e-06,8.43960962724632e-08
58,-2.9153909284596596e-06,-9.191625556683812e-06,-3.5735418115411904e-06,-7.140619738798263e-07,2.0411224860669396e-06,5.919151187961163e-06
59,3.864276404693854e-06,-1.284627027225726e-05,-1.2091578639859044e-05,-6.8264173826117206e-06,8.797127420226148e-06,3.736086624814419e-06
60,1.0413060019300717e-05,-7.531829885122085e-06,-2.2087905427868823e-06,-5.5998481016802946e-06,1.7786124275525325e-05,2.8460609390295822e-06
61,1.0460749766411301e-05,-2.179177625871345e-06,-2.4227978148976404e-06,2.8207560790260003e-06,2.0316139054833796e-05,2.8581952720455346e-06
62,-3.7639576728166936e-06,-3.6069829606945454e-06,8.534589342553068e-06,-3.852507756304965e-06,1.3889856662695427e-05,3.2658316380365477e-06
63,5.279608874413448e-06,-2.821217488223617e-06,2.0849946326903737e-06,-2.359595486457244e-06,2.1605391712214796e-05,2.521931527616935e-06
64,3.845563446305598e-06,5.5029485165093435e-06,7.646239169062458e-06,-1.5316153001938908e-06,4.767499471935613e-05,7.819821996906105e-06
65,4.835784505491016e-06,3.6204247237995492e-06,-4.3913988897181913e-07,-2.1049147812111442e-07,1.8703619401250444e-05,4.636232770054438e-06
66,9.4954399147111e-06,9.465289429111833e-07,-1.195388056608913e-05,-1.4215807991108745e-06,-4.294949387358581e-06,2.509995754715234e-07
67,1.0812175241227329e-05,-2.272651185912323e-06,5.493968126598755e-06,3.620646826452967e-06,1.4954079971512688e-05,5.9791087352951445e-06
68,6.690375762052128e-06,-2.2354168311079886e-07,1.917756395066153e-05,6.415719071824285e-06,2.343440220907106e-05,6.533427533236123e-06
69,4.182776697096634e-06,7.29217043376653e-06,1.4676810348224896e-05,7.054452026266399e-06,-4.708345253473085e-06,4.151738849875862e-06
70,-3.582336023507932e-06,-8.216382411591838e-07,-3.8620497301670173e-07,1.9462753236551316e-06,4.100315257278268e-06,-1.4994347193479838e-06
71,6.637967451797504e-07,4.6713740979306895e-06,4.016321584291562e-06,-4.830395744699631e-06,2.8932338498288617e-05,-1.4967515830049247e-06
72,1.2231150285837959e-05,4.425220179050508e-06,1.0360160429216247e-06,3.1212757590091157e-07,2.292861052918122e-05,-2.909744537396476e-07
73,1.1718137992327545e-05,5.707823411633736e-06,3.8646436265150696e-07,2.3755166250670825e-06,4.688349381888397e-06,-1.712096323038887e-08
74,3.3219957892801396e-06,8.265986491632397e-07,5.435380438182914e-07,1.0445673996520143e-05,1.0741042162822778e-05,1.9936260958889087e-06
75,6.753485223186413e-06,1.3227217907823307e-05,6.741893342711921e-06,8.737700565221878e-06,2.7008052681267846e-05,-8.237753779225192e-07
76,1.4458678177859244e-05,1.2776168651185829e-05,1.6079273476664972e-05,6.8148378841659085e-06,4.058467427054382e-05,2.6440466022632374e-06
77,1.959835360889897e-05,1.0506803502533613e-05,2.4319135661434935e-05,8.089708883901879e-06,5.5707739058833874e-05,5.1068948682182615e-06
78,5.257913479663013e-06,1.6486510828718045e-05,1.123735086206177e-05,2.3562106689736946e-06,3.127025230334327e-05,1.5354251083404663e-06
79,-5.26747899851182e-06,1.2849207069052665e-05,4.92663185683387e-06,3.519389299535081e-06,2.279080700060305e-06,1.8244549229200343e-06
80,1.3751177008549824e-05,1.9728441513916005e-05,6.7174112473020105e-06,3.0529775829406814e-06,1.6118362484367396e-05,2.0431372225060333e-06
81,1.2773355705466744e-05,5.860141026610269e-06,-4.3891518959128685e-06,1.8889269945670717e-06,2.3965416543787498e-05,2.7872334181942688e-06
82,1.7343644755005665e-05,2.1497582753716022e-05,1.118609832379777e-05,7.734844887543141e-06,3.393467847393372e-05,2.0929012607071436e-06
83,3.1153555024866356e-05,3.0334035557225368e-05,4.810196151015828e-05,5.018249210784975e-06,4.869528057679959e-05,3.32162298232712e-06
84,4.249441995928739e-05,2.258563691693729e-05,6.0647585422725003e-05,1.1025081819029993e-05,7.42746744288777e-05,2.6171974495577497e-06
85,2.4268917839720207e-05,1.4601205678248858e-05,2.9315172646934326e-05,1.2128409878746019e-05,4.041119042626059e-05,7.57041570894014e-07
86,1.4980662151947214e-05,5.079874915608532e-06,-6.566021454734241e-06,-3.7813709185972045e-07,-2.120337090439885e-06,-2.2882687133056646e-07
87,2.519297402085434e-05,1.293689877111998e-05,-7.715577821120314e-06,1.2668006364029442e-06,2.0090470929641202e-05,1.8027270701669467e-06
88,2.851165100904108e-05,1.9170556831400702e-05,1.4103163091638065e-05,8.111364374057305e-06,4.359298925393099e-05,3.565803721389907e-06
89,2.3677311132089904e-05,2.5213455567360478e-05,3.01519305453608e-05,1.9984423757996534e-05,1.6318264723130402e-05,-3.314984625761847e-07
90,-1.329398447873681e-07,1.600513113197712e-05,8.089830328688588e-06,8.991223846130978e-06,4.3151060461446865e-06,6.282920478484814e-08
91,2.2721965724601966e-05,8.475395786044407e-06,9.538477754998617e-06,6.684203416815119e-06,2.94263465465117e-05,1.493195455309292e-07
92,1.5131467797347057e-05,9.384941679729579e-06,1.5065184869740012e-05,2.858627273744647e-06,1.2132925110912739e-05,6.974174345424735e-06
93,6.000419127912901e-06,8.94387093780407e-06,2.0808114137100875e-07,8.114951277760147e-06,2.808412958491571e-06,5.650634106578351e-06
94,1.061940813196792e-05,1.6174773375780782e-05,2.0259210430307067e-05,2.2047327282519002e-05,3.127511552590501e-05,4.1483760094842687e-07
95,-6.1464298252477565e-06,3.3550968901511223e-06,6.453442858544169e-06,1.5860424818440134e-05,2.0456160707071113e-05,1.0148770198153564e-06
96,-1.07141592176894e-06,5.872052339048359e-06,2.2130611338014723e-05,1.724125718955715e-05,2.085424903530718e-05,2.2990087051727397e-06
97,1.1081325906099306e-05,1.3990605279683006e-05,2.616712135374168e-05,1.4124829322105115e-05,1.425873044939735e-05,8.577536562521491e-07
98,1.2273712319494597e-05,1.8492294610973328e-05,1.7975915323192353e-05,1.9145367038729068e-05,6.878097335336877e-06,3.443105947934356e-07
99,2.463294503998283e-05,3.136524464593446e-05,4.366404531760483e-05,3.0237005062383603e-05,1.9093683264594556e-05,3.0943032773437794e-07
100,2.6690003287999373e-05,2.8383185332752626e-05,2.928155423962737e-05,4.159476947131228e-05,1.859069249137951e-05,-1.1766039022420717e-06
101,1.3169662822297288e-05,3.4655320103193775e-05,3.9810777698853016e-05,3.367185233649896e-05,2.1407327521887222e-05,-3.461215181214936e-07
102,2.0967147158424458e-05,3.70484272658808e-05,6.228391705623195e-05,2.5853077416386935e-05,4.179656751750738e-05,1.1318344147049182e-06
103,1.588019274830455e-05,3.144950372342249e-05,4.855853071567809e-05,3.428832542437978e-05,3.3938786751404326e-05,2.030969768105604e-07
104,1.1818764588765897e-05,3.562437018394733e-05,6.322846579735988e-05,4.5863975709648105e-05,3.797641108771973e-05,-1.2931395411201945e-07
105,1.356209347365326e-05,2.9212973606186843e-05,6.0129309979321786e-05,2.3022378277897163e-05,2.790006847458594e-05,2.2761235617624765e-06
106,2.490675719622837e-05,2.7718268976183616e-05,5.694640529452937e-05,1.7766578405318977e-05,3.160233435204381e-05,3.7801515301448765e-06
